创建新表成功string(44) "1-0-0-安徽安粮国际发展有限公司-1"
string(48) "1-0-0-温州市五机化医外贸有限公司-25"
string(42) "1-0-0-中国中材进出口有限公司-25"
string(51) "1-0-0-重庆小康工业集团股份有限公司-25"
string(48) "1-0-0-广东英得尔实业发展有限公司-26"
string(42) "1-0-0-上海海外进出口有限公司-26"
string(54) "1-0-0-天津纺织集团进出口股份有限公司-26"
string(48) "1-0-0-ASEL DIS TICARET VE PAZARLAMA LTD. STI.-26"
string(45) "1-0-0-广东华侨欧胜企业有限公司-26"
string(48) "1-0-0-深圳市艾格斯特科技有限公司-26"
string(48) "1-0-0-楚雄博弘进出口贸易有限公司-26"
string(54) "1-0-0-杭州市对外经济贸易服务有限公司-26"
string(51) "1-0-0-河北方达国际贸易有限责任公司-26"
string(48) "1-0-0-武汉市黄陂诚信外贸有限公司-26"
string(39) "1-0-0-浙江飞神车业有限公司-26"
string(54) "1-0-0-广州越鑫机电设备进出口有限公司-26"
string(42) "1-0-0-上海浩恩进出口有限公司-26"
string(45) "1-0-0-上海沃登国际贸易有限公司-26"
string(48) "1-0-0-深圳市大阳实业发展有限公司-26"
string(48) "1-0-0-中航艾维克实业广州有限公司-27"
string(45) "1-0-0-珠海德豪润达电气有限公司-27"
string(54) "1-0-0-安徽合力工业车辆进出口有限公司-27"
string(45) "1-0-0-广州诚之誉进出口有限公司-27"
string(42) "1-0-0-广州市宝然贸易有限公司-27"
string(48) "1-0-0-广州中包联外经实业有限公司-27"
string(54) "1-0-0-鹤山国机南联摩托车工业有限公司-27"
string(48) "1-0-0-湖北新宝丰国际贸易有限公司-27"
string(51) "1-0-0-吉林省润枫祥国际贸易有限公司-27"
string(45) "1-0-0-深圳市诚信诺科技有限公司-27"
string(48) "1-0-0-广州傲胜人造草股份有限公司-27"
string(45) "1-0-0-广州市品本一洁具有限公司-27"
string(42) "1-0-0-凭祥市新力贸易有限公司-27"
string(47) "1-0-0-北方铨盛(宁夏)科技有限公司-27"
string(48) "1-0-0-广东奥特龙电器制造有限公司-27"
string(45) "1-0-0-广州市绿道自行车有限公司-28"
string(54) "1-0-0-哈尔滨市忠和木制品有限责任公司-28"
string(57) "1-0-0-江苏舜天国际集团五金矿产有限公司-28"
string(42) "1-0-0-宁波美博进出口有限公司-28"
string(45) "1-0-0-山西赢嘉玻璃制品有限公司-28"
string(42) "1-0-0-上海裕邦进出口有限公司-28"
string(48) "1-0-0-中国汽车工业进出口有限公司-28"
string(45) "1-0-0-滁州富达机械电子有限公司-28"
string(48) "1-0-0-上海西美工具进出口有限公司-28"
string(44) "1-0-0-易尔拓工具(上海)有限公司-28"
string(54) "1-0-0-长铃集团长春摩托车工业有限公司-28"
string(45) "1-0-0-佛山市丁普乐电器有限公司-28"
string(51) "1-0-0-佛山市高明淦富进出口有限公司-28"
string(39) "1-0-0-泉州轻艺股份有限公司-28"
string(45) "1-0-0-中新科技集团股份有限公司-28"
string(48) "1-0-0-珠海市拱北星源发展有限公司-29"
string(19) "1-0-0-CASCADE HL-29"
string(39) "1-0-0-广东柔乐电器有限公司-29"
string(54) "1-0-0-广州番禺建业进出口贸易有限公司-29"
string(45) "1-0-0-海尔海外电器产业有限公司-29"
string(50) "1-0-0-辽宁省机械(集团)股份有限公司-29"
string(51) "1-0-0-上海外经贸申和进出口有限公司-29"
string(50) "1-0-0-威立达数码科技(深圳)有限公司-29"
string(42) "1-0-0-武汉维也安商贸有限公司-29"
string(39) "1-0-0-福州宜美电子有限公司-29"
string(42) "1-0-0-深圳市康冠技术有限公司-29"
string(54) "1-0-0-天津利和集团畜产进出口有限公司-29"
string(39) "1-0-0-浙江南龙工贸有限公司-29"
string(51) "1-0-0-浙江浦江梅花锁业集团有限公司-29"
string(39) "1-0-0-中国船舶工业贸易公司-29"
string(36) "1-0-0-重庆长江进出口公司-30"
string(42) "1-0-0-重庆德源进出口有限公司-30"
string(47) "1-0-0-重庆银钢科技(集团)有限公司-30"
string(57) "1-0-0-广东省新立电子信息进出口有限公司-30"
string(33) "1-0-0-广州宏昌胶粘带厂-30"
string(42) "1-0-0-南充市丹浦电子有限公司-30"
string(51) "1-0-0-清远市翔宇经贸进出口有限公司-30"
string(48) "1-0-0-乌鲁木齐祥和达贸易有限公司-30"
string(39) "1-0-0-昆明雄申贸易有限公司-30"
string(45) "1-0-0-宁波市宁海县国际贸易公司-30"
string(48) "1-0-0-四川蒙特瑞国际贸易有限公司-30"
string(42) "1-0-0-重庆中艺行贸易有限公司-30"
string(48) "1-0-0-长沙沃虹进出口贸易有限公司-30"
string(54) "1-0-0-广东省南海纺织品进出口有限公司-30"
string(45) "1-0-0-广东新食出进出口有限公司-30"
string(48) "1-0-0-江门市新轻出进出口有限公司-31"
string(48) "1-0-0-上海浦东进出口集团有限公司-31"
string(45) "1-0-0-上海新联纺进出口有限公司-31"
string(42) "1-0-0-深圳市启悦光电有限公司-31"
string(48) "1-0-0-北海市东品光电科技有限公司-31"
string(48) "1-0-0-广州市亿科贸易发展有限公司-31"
string(48) "1-0-0-江苏新日电动车股份有限公司-31"
string(51) "1-0-0-陕西斯克赛德企业服务有限公司-31"
string(45) "1-0-0-上海北方工业发展有限公司-31"
string(48) "1-0-0-深圳市荣利来进出口有限公司-31"
string(45) "1-0-0-云南联合锑业股份有限公司-31"
string(54) "1-0-0-重庆航天巴山摩托车制造有限公司-31"
string(48) "1-0-0-珠海市竞争电子科技有限公司-31"
string(51) "1-0-0-安徽省机械发展进出口有限公司-31"
string(39) "1-0-0-安徽天彩丝绸有限公司-31"
string(51) "1-0-0-佛山市欧亚玛电器实业有限公司-32"
